,household_participation,individual_participation,total_cost,cost_by_household,cost_by_individual
Connecticut,248203.5,442161.25,715334947.0,240.17085,134.81788333333333
Maine,105075.3333,202578.8333,282015650.0,223.661475,116.01065833333334
Massachusetts,449467.6667,785778.0833,1202312621.0,222.91418333333334,127.50765
New Hampshire,51478.25,106296.3333,132497777.0,214.48828333333333,103.874525
New York,1665682.5,3039108.1667,5036156208.0,251.95659166666667,138.09304166666666
Rhode Island,100949.3333,175024.6667,282777163.0,233.43159166666666,134.63681666666668
Vermont,44950.3333,84993.6667,124409407.0,230.64235,121.97909166666666
Delaware,71820.75,149980.5,228935464.0,265.6329166666667,127.20290833333334
District of Columbia,80006.5,141845.0833,224104447.0,233.42316666666667,131.66033333333334
Maryland,404707.5,781034.5833,1149657589.0,236.726025,122.66396666666667
New Jersey,453337.5833,905727.6667,1291435885.0,237.394075,118.82120833333333
Pennsylvania,918760.75,1826666.8333,2699655059.0,244.86380833333334,123.15943333333334
Virginia,404347.5833,860374.75,1230788073.0,253.65719166666668,119.21046666666666
Virgin Islands,12609.5833,27461.0833,56465978.0,373.16840833333333,171.35151666666667
Alabama,417943.4167,889380.0833,1341906577.0,267.56145,125.73425833333333
Florida,2009593.9167,3656169.4167,5688711691.0,235.89805833333332,129.66010833333334
Georgia,839206.6667,1800530.9167,2803606880.0,278.3985333333333,129.75834166666667
Kentucky,368596.4167,768881.8333,1112381122.0,251.49030833333333,120.56264166666666
Mississippi,296094.3333,636322.25,916551543.0,257.95595,120.03241666666666
North Carolina,803494.75,1646202.25,2395550386.0,248.45115833333332,121.26650833333333
South Carolina,379991.75,804571.75,1208604782.0,265.05066666666664,125.18095833333334
Tennessee,611805.1667,1229390.6667,1884708816.0,256.7141916666667,127.75358333333334
Illinois,1060589.1667,2042305.5,3303102831.0,259.53364166666665,134.77835
Indiana,379929.4167,831740.4167,1244188231.0,272.8989833333333,124.65710833333333
Michigan,824971.4167,1571344.3333,2369233695.0,239.324825,125.64791666666666
Minnesota,240410.0,496023.1667,627557916.0,217.53044166666666,105.43155
Ohio,818704.25,1676263.0,2528834777.0,257.40215,125.71788333333333
Wisconsin,406753.6667,805540.4167,1051153941.0,215.354325,108.74210833333333
Arkansas,214055.75,468904.0,648769562.0,252.570325,115.29893333333334
Louisiana,389519.25,859737.5833,1298445656.0,277.78808333333336,125.85678333333334
New Mexico,205540.0833,453146.4167,685206629.0,277.80738333333335,126.00905833333333
Oklahoma,271064.8333,598257.1667,864950565.0,265.91134166666666,120.48199166666667
Texas,1558597.0833,3724688.1667,5265414124.0,281.5253,117.80435833333334
Colorado,233113.4167,495133.75,771959823.0,275.960025,129.92445833333332
Iowa,184849.6667,391223.75,516608025.0,232.895575,110.04104166666667
Kansas,121991.1667,273974.1667,374432741.0,255.77859166666667,113.88930833333333
Missouri,398662.25,844597.0833,1258535557.0,263.074725,124.17514166666666
Montana,56111.5,119081.5,171413823.0,254.57321666666667,119.95553333333334
Nebraska,77754.8333,174092.4167,242092503.0,259.46136666666666,115.88313333333333
North Dakota,24770.5833,53147.5833,77912538.0,262.11379166666666,122.16381666666666
South Dakota,43176.1667,98552.8333,148866948.0,287.3247,125.87745
Alaska,34187.3333,81121.25,168054411.0,409.641025,172.63705833333333
American Samoa,438572.0,992876.0,121424857.0,276.8641,122.2961
Total,436358.0,767181.0,93749874.0,214.8462,122.2005
