,Basic Assistance,Work Activities,Work Supports,Child Care,Adminstration & Systems,Tax Credit,Pre-K,Child Welfare,Other,Total
Alabama,20321862.0,6318153.0,3855237.0,5868720.0,32758320.0,0.0,22273431.0,40456037.0,51609280.0,183461040.0
Alaska,42073843.0,8774882.0,294110.0,18167415.0,8356073.0,0.0,0.0,0.0,15119554.0,92785877.0
Arizona,41697276.0,377322.0,12819100.0,2546800.0,20111919.0,0.0,0.0,227246240.0,29423238.0,334221895.0
Arkansas,4098634.0,14673570.0,1206015.0,15514589.0,13249263.0,0.0,108351270.0,330060.0,7751161.0,165174562.0
California,2329995229.0,1778602465.0,328934454.0,742572321.0,765718136.0,0.0,0.0,3175.0,648020200.0,6593845980.0
Colorado,55969019.0,10675270.0,12330893.0,17933109.0,60937229.0,78132807.0,62009671.0,46305075.0,36860924.0,381153997.0
Connecticut,50235960.0,11731629.0,20431012.0,39991720.0,93572955.0,56443535.0,76203424.0,62229764.0,87521641.0,498361640.0
Delaware,13868102.0,3790622.0,0.0,76442106.0,19793988.0,0.0,0.0,0.0,2648501.0,116543319.0
Dist. of Col.,114481531.0,29872825.0,1368718.0,59117060.0,11123308.0,0.0,0.0,0.0,73695238.0,289658680.0
Florida,160442905.0,43769764.0,24071785.0,316879226.0,70037612.0,0.0,0.0,269205488.0,57154876.0,941561656.0
Georgia,95549628.0,10626204.0,15596556.0,22182651.0,24883496.0,0.0,0.0,247792143.0,73515501.0,490146179.0
Hawaii,28602509.0,41180189.0,24545068.0,11041717.0,23529109.0,0.0,180583.0,535904.0,69092993.0,198708072.0
Idaho,8218660.0,2758810.0,136272.0,13636791.0,7759265.0,0.0,1509203.0,1507006.0,14020674.0,49546681.0
Illinois,31882616.0,19252090.0,10328074.0,593251266.0,71255097.0,66150494.0,106475907.0,242282735.0,2720600.0,1143598879.0
Indiana,14744438.0,83762279.0,1102831.0,118452231.0,24101671.0,27529635.0,0.0,9336994.0,135842610.0,414872689.0
Iowa,33549353.0,10484615.0,1302454.0,58002676.0,11711582.0,25939342.0,0.0,55569447.0,14946277.0,211505746.0
Kansas,13025973.0,1020628.0,4623833.0,6673023.0,15916244.0,49901778.0,15197598.0,24611311.0,34510025.0,165480413.0
Kentucky,172117902.0,29025759.0,8517244.0,36051229.0,11201002.0,0.0,0.0,0.0,4636349.0,261549485.0
Louisiana,19673217.0,33016491.0,9893170.0,11121773.0,19679540.0,13627017.0,45489640.0,37556075.0,35458655.0,225515578.0
Maine,30392822.0,12456785.0,6181701.0,16412498.0,9069229.0,7592075.0,718507.0,8425180.0,25789241.0,117038038.0
Maryland,111808946.0,28246891.0,6149883.0,7336000.0,42408671.0,152657685.0,58188198.0,26017335.0,67533060.0,500346669.0
Massachusetts,197095710.0,168495532.0,13298374.0,338727691.0,37800226.0,173120286.0,0.0,5412212.0,161368917.0,1095318948.0
Michigan,168726265.0,4867851.0,100174910.0,27829091.0,302039190.0,47087390.0,187156948.0,98198282.0,467476086.0,1403556013.0
Minnesota,85568844.0,61433652.0,2523819.0,156197793.0,54632375.0,152778994.0,5700000.0,0.0,44334133.0,563169610.0
Mississippi,7283266.0,28282094.0,11790686.0,1715430.0,16345455.0,0.0,0.0,20757677.0,48622285.0,134796893.0
Missouri,35600387.0,77253265.0,10378176.0,48657908.0,7821500.0,0.0,0.0,131817363.0,103937018.0,415465617.0
Montana,25091374.0,3931111.0,1009841.0,9409773.0,11415690.0,0.0,0.0,2459902.0,6102267.0,59419958.0
Nebraska,26056953.0,11926065.0,0.0,22243583.0,5031869.0,33834354.0,0.0,4174112.0,886923.0,104153859.0
Nevada,38178148.0,1489068.0,4505698.0,16589878.0,23767791.0,0.0,0.0,15603871.0,3000320.0,103134774.0
New Hampshire,30650858.0,7688712.0,2727362.0,4581872.0,11234199.0,0.0,0.0,5308679.0,22134920.0,84326602.0
New Jersey,81594390.0,80723672.0,19439413.0,166219290.0,51531794.0,348960631.0,549240378.0,0.0,67133823.0,1364843391.0
New Mexico,55419066.0,18901555.0,4761828.0,31277500.0,4952683.0,71929002.0,41167881.0,869838.0,17387144.0,246666497.0
New York,1489959121.0,131513153.0,31820523.0,577447312.0,459788262.0,1403064970.0,498969635.0,247188145.0,548501122.0,5388252243.0
North Carolina,36847046.0,5436777.0,2730776.0,216873678.0,68194308.0,0.0,120828052.0,124291909.0,22018371.0,597220917.0
North Dakota,3933844.0,3892865.0,871331.0,1073979.0,4352138.0,0.0,0.0,28739408.0,263657.0,43127222.0
Ohio,236818580.0,90063566.0,62055223.0,405937823.0,133603101.0,0.0,0.0,11915659.0,191898440.0,1132292392.0
Oklahoma,29493052.0,9353853.0,2964799.0,39188464.0,15002519.0,0.0,12079314.0,14303948.0,24315690.0,146701639.0
Oregon,83385085.0,16521066.0,12419852.0,11175091.0,94280192.0,3380632.0,8629903.0,14587516.0,32055543.0,276434880.0
Pennsylvania,167238924.0,102954900.0,5971710.0,478148178.0,73820182.0,0.0,176996710.0,0.0,149676955.0,1154807559.0
Rhode Island,25472033.0,9874195.0,1921152.0,40366166.0,9810571.0,22704603.0,0.0,23307528.0,34197874.0,167654122.0
South Carolina,52919369.0,33401475.0,4260901.0,4085269.0,32298793.0,0.0,26381757.0,5050109.0,6363825.0,164761498.0
South Dakota,15093654.0,3516756.0,207466.0,802914.0,2015507.0,0.0,0.0,4862599.0,6139920.0,32638816.0
Tennessee,18416847.0,7592026.0,186602.0,0.0,26241166.0,0.0,85989536.0,0.0,0.0,138426177.0
Texas,53169997.0,84856431.0,3185623.0,0.0,77212639.0,0.0,340550245.0,240425085.0,63028108.0,862428128.0
Utah,18920011.0,22688834.0,7490056.0,23451678.0,14302344.0,0.0,7767330.0,3750494.0,20490713.0,118861460.0
Vermont,14147720.0,1988690.0,1994131.0,29849334.0,12669126.0,18311655.0,0.0,5769739.0,8611904.0,93342299.0
Virginia,67732679.0,39856041.0,10754862.0,37011151.0,40268417.0,0.0,4382910.0,8159635.0,70783990.0,278949685.0
Washington,135806978.0,101516667.0,3296369.0,227095169.0,122470160.0,0.0,39450497.0,0.0,429109772.0,1058745612.0
West Virginia,26205913.0,473496.0,14335689.0,16242413.0,14328953.0,0.0,0.0,31756796.0,23730457.0,127073717.0
Wisconsin,82281803.0,26142280.0,20274035.0,203162650.0,27898790.0,69700000.0,0.0,5364296.0,146267058.0,581090912.0
Wyoming,9075196.0,3033144.0,977195.0,1553707.0,4629746.0,0.0,939028.0,0.0,3420175.0,23628191.0
US Total,6710933538.0,3340086035.0,852016812.0,5326109706.0,3116933395.0,2822846885.0,2602827556.0,2353484771.0,4211128008.0,31336366706.0
